"","cust","week_nr","spend","online","postal","volume","plannedvol","bulkyvol","sensoryvol","plannedspend","bulkyspend","sensoryspend","nr_product","nr_product_deal","diapers"
"1",1,99,259.976006636862,0,10000,17,11,6,2,239.646980189718,21.5981387160718,107.09318772424,9,3,0
"2",1,145,873.992616590112,1,10000,20,16,12,10,182.224484719336,75.3249679505825,101.279045292176,9,1,1
"3",1,81,335.663092380855,0,10000,67,9,13,10,262.224862165749,95.9616688266397,180.576000967994,5,1,0
"4",1,110,262.396652298048,1,10000,94,26,10,3,356.853057560511,20.7046202756464,171.728380955756,6,2,3
"5",1,93,678.236510942224,0,10000,50,9,2,3,395.970697118901,50.2591829560697,163.075041444972,15,2,3
"6",1,139,270.713828876615,0,10000,75,15,13,5,375.322905438952,76.0439150780439,135.935425991192,9,1,2
"7",1,141,151.114738266915,0,10000,49,16,9,8,178.232038323767,72.5885370187461,104.749988811091,1,4,2
"8",1,113,858.418132446241,1,10000,75,19,17,2,163.730743038468,78.2045700587332,195.394194847904,13,1,3
"9",1,42,953.670174384024,0,10000,100,24,18,4,283.485413715243,82.9197430796921,152.530794474296,3,0,2
"10",1,106,632.715778483544,1,10000,8,30,16,10,343.766327737831,40.1790694333613,155.724780983292,5,4,1
"11",1,133,491.439709218685,0,10000,11,14,15,8,378.732778760605,56.3482583872974,139.340090635233,1,3,2
"12",1,62,307.300615706481,0,10000,84,28,2,5,182.570038945414,26.8190377391875,184.853796428069,3,0,1
"13",1,144,615.409638197161,0,10000,16,24,16,8,253.633789368905,90.8599525131285,171.444129804149,11,4,1
"14",1,131,628.452729445416,0,10000,97,22,9,2,233.934668265283,77.4088273756206,176.471530669369,4,4,2
"15",1,77,286.82191898115,0,10000,47,17,13,9,244.899009540677,34.3791700899601,183.371845679358,4,1,2
"16",1,41,411.674098868389,0,10000,33,11,2,10,212.808552454226,49.8035499081016,135.991131444462,6,1,0
"17",1,119,455.600881576538,0,10000,17,26,16,5,209.990103426389,33.078737705946,154.609170905314,1,2,2
"18",1,124,291.985236492474,1,10000,46,27,9,10,164.487320999615,86.1046675220132,162.108440417796,10,1,2
"19",1,104,314.412041183095,0,10000,54,21,19,4,317.766343033873,62.0821379311383,174.736594641581,10,4,2
"20",1,95,536.515637347475,0,10000,64,24,13,6,331.216585030779,88.2145649567246,181.071471632458,7,1,2
"21",1,63,183.539030340035,0,10000,42,18,16,10,333.519559795968,92.4606574140489,161.763135273941,4,3,3
"22",1,85,882.061986497138,0,10000,100,7,5,3,181.482152082026,87.5954291597009,191.917273099534,15,1,2
"23",1,53,802.935528964736,0,10000,66,13,1,4,106.672832556069,71.6405436396599,140.494780498557,5,4,1
"24",1,118,245.900000783149,0,10000,10,16,12,7,198.795906547457,24.0411316417158,136.940962471999,11,1,0
"25",1,74,486.523841950111,0,10000,99,11,17,3,392.123084561899,92.6350099220872,172.503433865495,9,1,2
"26",1,134,182.770635967609,0,10000,96,10,2,6,283.378848084249,99.613559897989,128.685892582871,12,5,2
"27",1,146,710.530392033979,0,10000,89,21,15,10,273.955886135809,24.2780357599258,144.738749181852,10,4,3
"28",1,138,414.748247317038,0,10000,30,7,5,8,229.310093657114,48.383201546967,119.500512513332,13,3,3
"29",1,109,311.13377599977,0,10000,22,18,16,8,238.279795250855,57.5589353777468,171.366036357358,13,3,1
"30",1,102,682.160616782494,0,10000,53,9,7,9,289.381273114122,56.822502091527,184.640437876806,9,4,1
"31",1,87,589.210691209882,0,10000,72,23,10,9,157.150259218179,58.676526825875,138.056804914959,10,5,0
"32",1,68,938.753869349603,0,10000,27,20,1,9,177.527331910096,38.2235934399068,170.068234833889,11,1,2
"33",1,129,199.620774399955,1,10000,28,17,17,7,297.493336698972,49.9116047658026,134.798269020393,6,4,0
"34",1,136,947.200589091517,0,10000,31,21,17,7,246.334031806327,71.5711244381964,120.831302856095,4,0,2
"35",1,140,676.434579154011,1,10000,50,7,6,5,221.203554584645,39.6560797281563,184.753758343868,14,5,1
"36",1,89,462.027132767253,0,10000,19,25,9,3,329.740726971067,60.7917441427708,101.926619559526,4,2,3
"37",1,101,199.397213989869,0,10000,59,8,19,3,176.00366899278,27.076547536999,138.973441394046,14,1,3
"38",1,69,269.54393023625,0,10000,18,17,16,7,157.559044496156,69.0287961997092,162.861143378541,14,3,1
"39",1,112,491.154082107823,1,10000,38,23,4,6,214.917996898293,23.8810328021646,165.139362728223,7,3,0
